#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
69,Guatemala,"820,477",,"17,258 ",,"787,798",,"15,421",5,"44,385",934,"4,169,134","225,535","18,485,518 ",North America,"231,0714",,,834
70,Azerbaijan,"791,583",,"9,670 ",,"781,303",,610,,"76,879",939,"6,673,982","648,185","10,296,412 ",Asia,"131,0652",,,59
71,Latvia,"784,155","+3,324","5,559 ",+21,"721,486","+7,042","57,110",32,"423,794","3,004","7,008,915","3,787,945","1,850,321 ",Europe,23330,"1,796",11,"30,865"
72,Panama,"762,394",,"8,159 ",,"751,640",,"2,595",10,"172,036","1,841","5,652,768","1,275,560","4,431,596 ",North America,65431,,,586
73,Saudi Arabia,"750,080",+115,"9,034 ",+1,"732,741",+145,"8,305",146,"20,983",253,"41,436,288","1,159,172","35,746,440 ",Asia,"483,9571",3,0.03,232
74,Sri Lanka,"660,151",,"16,445 ",,"624,863",,"18,843",,"30,608",762,"6,368,159","295,263","21,567,736 ",Asia,"331,3123",,,874
75,Paraguay,"647,538",,"18,606 ",,"623,705",,"5,227",48,"88,908","2,555","2,577,147","353,845","7,283,259 ",South America,113913,,,718
76,Kuwait,"627,753",,"2,553 ",,"622,842",,"2,358",10,"143,348",583,"7,763,313","1,772,766","4,379,209 ",Asia,"71,7151",,,538
77,Myanmar,"609,915",,"19,428 ",,"566,375",,"24,112",,"11,082",353,"7,548,638","137,155","55,037,395 ",Asia,"902,8337",,,438
78,Palestine,"580,873",,"5,345 ",,"574,144",,"1,384",17,"109,489","1,007","3,078,533","580,274","5,305,310 ",Asia,99932,,,261
79,Dominican Republic,"577,476",,"4,375 ",,"572,674",,427,24,"52,331",396,"3,202,322","290,195","11,035,066 ",North America,"192,5223",,,39
80,New Zealand,"557,330","+18,491",192 ,+8,"438,269","+19,603","118,869",,"111,419",38,"6,899,840","1,379,389","5,002,100 ",Australia/Oceania,"926,0531","3,697",2,"23,764"
81,Estonia,"548,333","+1,449","2,423 ",+5,"463,737","+3,478","82,173",14,"412,880","1,824","3,219,347","2,424,079","1,328,070 ",Europe,25480,"1,091",4,"61,874"
82,Bahrain,"547,951",,"1,466 ",,"538,002",,"8,483",5,"303,876",813,"9,563,356","5,303,526","1,803,207 ",Asia,"31,2300",,,"4,704"
83,Venezuela,"519,872",,"5,673 ",,"511,803",,"2,396",230,"18,372",200,"3,359,014","118,704","28,297,306 ",South America,"544,9888",,,85
84,Moldova,"511,231",,"11,401 ",,"496,239",,"3,591",60,"127,241","2,838","3,125,532","777,915","4,017,831 ",Europe,83521,,,894
85,Libya,"501,379",+83,"6,392 ",+3,"488,723",+316,"6,264",107,"71,299",909,"2,467,798","350,937","7,032,023 ",Africa,"141,1003",12,0.4,891
86,Egypt,"500,889",,"24,361 ",,"430,198",,"46,330",122,"4,741",231,"3,693,367","34,957","105,653,747 ",Africa,"2114,33729",,,439
87,Ethiopia,"469,523",,"7,491 ",,"427,324",,"34,708",17,"3,917",62,"4,615,990","38,512","119,859,304 ",Africa,"25516,00026",,,290
88,Mongolia,"467,781",+55,"2,177 ",,"313,256",,"152,348",192,"138,845",646,"4,030,048","1,196,182","3,369,094 ",Asia,"71,5481",16,,"45,219"
89,Armenia,"422,401",+19,"8,604 ",+1,"409,635",+47,"4,162",,"142,090","2,894","2,959,560","995,555","2,972,773 ",Asia,73461,6,0.3,"1,400"
90,Honduras,"418,492",,"10,869 ",,"131,100",,"276,523",105,"41,127","1,068","1,263,329","124,153","10,175,561 ",North America,249368,,,"27,175"
